State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,7000,7000,990,14,160,330,5
Arizona,26000,30000,2000,7,5500,3800,13
Arkansas,20000,21000,2100,10,170,680,3
California,650000,700000,93000,13,87000,108000,15
Colorado,33000,36000,9500,26,2200,3400,9
Connecticut,4400,4400,200,5,70,470,11
Florida,210000,240000,20000,8,46000,33000,14
Georgia,116000,118000,13000,11,12000,36000,31
Hawaii,17000,17000,200,1,200,6000,35
Idaho,95000,111000,10500,9,8500,12500,11
Illinois,13500,13500,940,7,460,1300,10
Indiana,14000,16000,1000,6,2200,1500,9
Iowa,30000,33000,3400,10,2000,4800,15
Kansas,7500,7500,1900,25,190,400,5
Kentucky,8000,8500,850,10,700,430,5
Louisiana,42000,44000,4100,9,4400,13000,30
Maine,11500,12000,1100,9,460,3500,29
Maryland,7500,7500,790,11,720,1200,16
Massachusetts,13500,13500,1100,8,800,560,4
Michigan,94000,99000,11000,11,3000,3300,3
Minnesota,126000,129000,21000,16,5000,2100,2
Mississippi,23000,23000,2900,13,550,850,4
Missouri,10500,10500,500,5,260,350,3
Montana,147000,154000,18500,12,3600,12500,8
Nebraska,40000,41000,3700,9,680,1400,3
New Jersey,16000,16000,680,4,650,3100,19
New Mexico,2400,5500,170,3,1000,550,10
New York,65000,69000,8500,12,3200,3700,5
North Carolina,22000,22000,2700,12,1800,5000,23
North Dakota,530000,530000,81000,15,15000,17500,3
Ohio,19500,19500,1600,8,2800,3000,15
Oklahoma,7500,7500,930,12,130,1100,15
Oregon,83000,118000,8000,7,6000,21000,18
Pennsylvania,19000,20000,980,5,1800,1900,10
South Carolina,14500,14500,2200,15,2000,1400,10
South Dakota,255000,255000,51000,20,1300,8000,3
Tennessee,14000,14000,4500,32,2200,2200,16
Texas,126000,133000,11000,8,6500,7000,5
Utah,24000,29000,2800,10,3500,1700,6
Vermont,7000,7000,120,2,80,490,7
Virginia,9000,9000,570,6,350,820,9
Washington,85000,97000,21000,22,12000,10000,10
West Virginia,10000,10000,1100,11,200,1100,11
Wisconsin,63000,63000,6500,10,2400,10000,16
Wyoming,24000,27000,3000,11,2500,3500,13
Other States 5/,13660,13900,2080,15,320,900,6
United States,3175960,,434700,14,252550,355330,11
