State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,8500,9000,1400,16,160,260,3
Arizona,40000,40000,6000,15,4300,15500,39
Arkansas,23000,30000,9000,30,500,210,1
California,730000,800000,76000,10,40000,93000,12
Colorado,29000,30000,4500,15,1400,1400,5
Connecticut,3700,3700,50,1,190,440,12
Florida,164000,220000,36000,16,37000,29000,13
Georgia,108000,110000,13000,12,19500,15500,14
Hawaii,14500,14500,2700,19,1200,5500,38
Idaho,80000,128000,14000,11,5500,11500,9
Illinois,14000,14000,1400,10,1300,1100,8
Indiana,15000,15000,1600,11,1400,420,3
Iowa,29000,37000,3000,8,640,680,2
Kansas,9000,9500,1000,11,100,160,2
Kentucky,10000,10000,1300,13,170,550,6
Louisiana,50000,55000,2000,4,2300,1800,3
Maine,6000,6000,450,8,410,140,2
Maryland,7000,7500,680,9,730,70,1
Massachusetts,7500,7500,560,8,290,400,5
Michigan,89000,89000,7000,8,3300,3800,4
Minnesota,133000,136000,32000,24,640,2300,2
Mississippi,23000,34000,3500,10,260,110,
Missouri,14000,14000,1200,9,700,630,5
Montana,140000,156000,10500,7,3200,10000,6
Nebraska,67000,77000,6000,8,500,6000,8
New Jersey,18500,18500,210,1,190,500,3
New Mexico,6500,6500,1600,25,1300,650,10
New York,44000,47000,6500,14,4400,7000,15
North Carolina,24000,24000,2900,12,2500,1100,5
North Dakota,460000,500000,93000,19,11000,22000,4
Ohio,23000,23000,1900,8,2300,880,4
Oklahoma,19500,22000,230,1,160,190,1
Oregon,68000,100000,8500,9,8000,21000,21
Pennsylvania,25000,25000,1800,7,1800,2400,10
South Carolina,12000,12000,2000,17,880,580,5
South Dakota,295000,295000,53000,18,2100,13000,4
Tennessee,10000,10000,1200,12,500,350,4
Texas,76000,136000,16500,12,5500,4800,4
Utah,31000,36000,8000,22,1400,2200,6
Vermont,6000,6500,40,1,30,20,
Virginia,8000,8000,680,9,520,220,3
Washington,84000,97000,11500,12,1800,20000,21
West Virginia,7000,7000,300,4,300,270,4
Wisconsin,60000,62000,9000,15,1300,4300,7
Wyoming,29000,35000,2500,7,270,440,1
Other States 5/,12180,12280,900,7,1050,700,6
United States,3132880,,457100,15,172990,303070,10
