State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,6500,6500,830,13,210,1300,20
Arizona,26000,27000,5000,19,2200,330,1
Arkansas,30000,31000,6000,19,110,230,1
California,680000,1200000,170000,14,86000,46000,4
Colorado,30000,30000,3500,12,370,10,
Connecticut,3500,3500,220,6,,60,2
Florida,240000,290000,43000,15,53000,20000,7
Georgia,148000,164000,19500,12,6500,49000,30
Hawaii,16000,16000,940,6,1700,6000,38
Idaho,99000,159000,15000,9,9000,910,1
Illinois,12000,12000,1400,12,600,350,3
Indiana,9000,9000,3300,37,40,1200,13
Iowa,21000,21000,4200,20,630,80,
Kansas,5500,5500,1000,18,420,10,
Kentucky,7000,7000,2000,29,60,430,6
Louisiana,50000,52000,2600,5,130,200,
Maine,12000,12000,1400,12,210,880,7
Maryland,7000,9000,690,8,60,90,1
Massachusetts,4900,4900,650,13,110,320,7
Michigan,77000,77000,6000,8,3900,1800,2
Minnesota,84000,86000,11500,13,2500,590,1
Mississippi,14500,25000,2000,8,330,50,
Missouri,10000,10000,880,9,170,150,2
Montana,98000,102000,5500,5,3100,500,
Nebraska,45000,45000,5000,11,7000,840,2
New Jersey,15500,15500,1300,8,30,80,1
New Mexico,8000,8000,3000,38,50,,
New York,53000,53000,4400,8,1000,1500,3
North Carolina,16000,16000,2700,17,250,300,2
North Dakota,430000,435000,29000,7,7500,1500,
Ohio,15500,15500,2100,14,170,450,3
Oklahoma,2200,57000,2500,4,60,20,
Oregon,89000,101000,13000,13,10500,12000,12
Pennsylvania,21000,21000,4000,19,270,1500,7
South Carolina,10000,12500,1500,12,770,790,6
South Dakota,140000,140000,21000,15,2000,430,
Tennessee,8000,8500,1900,22,30,370,4
Texas,116000,260000,17000,7,11000,70,
Utah,27000,27000,3400,13,180,400,1
Vermont,6500,6500,170,3,10,20,
Virginia,7000,7000,1100,16,80,1300,19
Washington,75000,81000,11000,14,5500,1400,2
West Virginia,7000,7000,1200,17,50,70,1
Wisconsin,48000,48000,8500,18,1600,530,1
Wyoming,30000,32000,2700,8,220,,
Other States 5/,8370,8670,1150,13,20,500,6
United States,2868970,,444730,16,219640,154560,5
