State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,8500,8500,1700,20,1600,1300,15
Arizona,31000,31000,8000,26,3200,3100,10
Arkansas,29000,29000,2300,8,2600,840,3
California,590000,700000,73000,10,63000,141000,20
Colorado,34000,35000,5000,14,1500,5000,14
Connecticut,3200,3200,130,4,80,310,10
Florida,197000,220000,30000,14,53000,40000,18
Georgia,134000,138000,17000,12,27000,33000,24
Hawaii,16500,16500,1800,11,1700,3000,18
Idaho,82000,101000,14000,14,15000,21000,21
Illinois,11000,11000,660,6,700,420,4
Indiana,11500,11500,990,9,520,1200,10
Iowa,56000,57000,3600,6,1200,990,2
Kansas,6000,6000,950,16,300,180,3
Kentucky,6500,7000,840,12,300,660,9
Louisiana,53000,53000,1900,4,1600,2300,4
Maine,12500,12500,890,7,60,170,1
Maryland,7500,7500,360,5,580,680,9
Massachusetts,8000,10000,2200,22,850,730,7
Michigan,88000,88000,8000,9,3000,22000,25
Minnesota,121000,127000,29000,23,1600,6500,5
Mississippi,16500,16500,2900,18,110,650,4
Missouri,10000,10000,540,5,260,410,4
Montana,145000,153000,18500,12,3100,22000,14
Nebraska,52000,54000,6500,12,8500,5000,9
New Jersey,14000,14000,320,2,250,220,2
New Mexico,6000,7000,1200,17,3800,1000,14
New York,55000,56000,3900,7,3600,3700,7
North Carolina,18000,18000,2200,12,2600,2000,11
North Dakota,455000,490000,59000,12,23000,14500,3
Ohio,16000,16000,1300,8,1300,2100,13
Oklahoma,2100,2100,370,18,20,10,
Oregon,116000,117000,13000,11,3000,49000,42
Pennsylvania,20000,21000,860,4,2900,2300,11
South Carolina,9500,11500,1400,12,670,1100,10
South Dakota,168000,197000,22000,11,8000,6500,3
Tennessee,9000,9000,900,10,540,1000,11
Texas,112000,124000,7500,6,7500,9500,8
Utah,30000,30000,4400,15,970,1400,5
Vermont,7000,7000,90,1,1200,80,1
Virginia,7500,7500,610,8,1000,990,13
Washington,76000,84000,12000,14,7000,3600,4
West Virginia,7500,8000,520,7,170,1200,15
Wisconsin,61000,69000,10000,14,2400,3800,6
Wyoming,33000,34000,3900,11,1800,3900,11
Other States 5/,6490,9990,890,9,480,440,4
United States,2958790,,377120,13,263560,420780,14
