State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,7500,7500,1700,23,1200,180,2
Arizona,30000,30000,4700,16,2200,960,3
Arkansas,27000,27000,5000,19,4700,2200,8
California,1140000,1410000,210000,15,175000,63000,5
Colorado,6000,7000,570,8,,20,
Connecticut,2700,2700,270,10,70,10,
Florida,245000,265000,45000,17,36000,18500,7
Georgia,100000,100000,20000,20,28000,6000,6
Hawaii,15000,15000,280,2,570,1100,7
Idaho,90000,97000,6500,7,5500,6500,7
Illinois,7000,7500,1300,17,470,20,
Indiana,6500,6500,770,12,40,,
Iowa,16500,16500,3200,19,90,,
Kansas,4700,4700,980,21,,200,4
Kentucky,7000,7000,1300,19,110,70,1
Louisiana,68000,69000,9500,14,7500,5500,8
Maine,2200,3700,170,5,,,
Maryland,6500,6500,1400,22,40,20,
Massachusetts,3000,3000,370,12,120,330,11
Michigan,25000,37000,5000,14,2300,110,
Minnesota,37000,39000,6000,15,4400,10,
Mississippi,24000,77000,6500,8,11000,1700,2
Missouri,11500,11500,1200,10,930,290,3
Montana,15500,48000,840,2,11500,,
Nebraska,10500,21000,330,2,40,30,
New Jersey,8500,8500,1000,12,80,40,1
New Mexico,6000,6500,1700,26,10,70,1
New York,31000,31000,4000,13,140,1400,5
North Carolina,18500,24000,2500,10,80,840,4
North Dakota,82000,173000,17000,10,,,
Ohio,16000,16000,4200,26,760,100,1
Oklahoma,6000,6000,2900,48,60,510,9
Oregon,70000,92000,2800,3,3800,1800,2
Pennsylvania,12500,12500,2900,23,220,340,3
South Carolina,16500,16500,3400,21,2100,1800,11
South Dakota,30000,91000,770,1,30,,
Tennessee,9000,9000,1700,19,100,150,2
Texas,240000,290000,29000,10,73000,42000,15
Utah,12000,12500,1700,14,710,100,1
Vermont,5500,5500,410,8,,,
Virginia,6500,6500,1100,17,500,130,2
Washington,78000,135000,13000,10,4200,2000,2
West Virginia,6500,7500,1700,23,,10,
Wisconsin,22000,23000,2900,13,530,,
Wyoming,2700,5000,340,7,,,
Other States 5/,7290,7890,900,11,60,10,
United States,2594590,,428800,17,378160,158050,6
