State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,8500,8500,4100,48,4700,2620,31
Arizona,26000,26000,1300,5,14000,4700,18
Arkansas,17000,17000,1900,11,5000,800,5
California,1200000,1200000,74000,6,184000,240000,20
Colorado,16500,27000,2100,8,6000,2800,10
Connecticut,3900,4300,30,1,1200,480,11
Florida,325000,325000,39000,12,36000,23000,7
Georgia,141000,143000,10000,7,19500,19000,13
Hawaii,15500,15500,40,,240,2300,15
Idaho,48000,81000,14500,18,32000,29000,36
Illinois,12000,12000,1500,13,4200,1700,14
Indiana,11000,12000,920,8,4300,3200,27
Iowa,21000,29000,3600,12,14500,4700,16
Kansas,7500,8000,440,6,1800,1800,23
Kentucky,11000,11000,1200,11,4200,3500,32
Louisiana,53000,53000,1800,3,2200,4700,9
Maine,1600,22000,1300,6,520,110,1
Maryland,7000,8000,680,9,4500,1700,21
Massachusetts,4300,13500,740,5,980,590,4
Michigan,64000,79000,2600,3,9500,10000,13
Minnesota,59000,126000,6500,5,20000,2600,2
Mississippi,34000,37000,3000,8,3700,570,2
Missouri,6500,6500,390,6,2900,1200,18
Montana,48000,120000,3800,3,14000,16500,14
Nebraska,16500,39000,1800,5,7000,1100,3
New Jersey,7000,20000,760,4,1600,720,4
New Mexico,3100,6000,50,1,250,60,1
New York,33000,56000,4900,9,6500,3300,6
North Carolina,24000,25000,1600,6,6000,1300,5
North Dakota,67000,395000,17500,4,29000,37000,9
Ohio,15500,16500,1700,10,9500,3700,22
Oklahoma,16000,16000,1500,9,6000,3100,19
Oregon,89000,95000,2500,3,10500,19000,20
Pennsylvania,24000,27000,1000,4,6000,1700,6
South Carolina,19500,20000,1700,9,2700,2500,13
South Dakota,9500,205000,4600,2,8500,14500,7
Tennessee,13500,13500,1200,9,4200,3200,24
Texas,360000,385000,25000,6,75000,136000,35
Utah,21000,31000,2700,9,7000,13500,44
Vermont,7000,7000,260,4,700,130,2
Virginia,7500,8000,1200,15,4800,1300,16
Washington,50000,114000,3100,3,5000,3300,3
West Virginia,7500,7500,570,8,1600,1500,20
Wisconsin,27000,53000,1700,3,11500,4600,9
Wyoming,17500,24000,1600,7,2300,2100,9
Other States 5/,6500,7440,250,3,1270,1500,20
United States,2982900,,252630,8,596860,632680,21
