State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,5500,8000,410,5,1000,780,10
Arizona,29000,32000,6500,20,150,120,
Arkansas,16500,17500,1200,7,700,30,
California,1350000,1710000,230000,13,240000,66000,4
Colorado,4500,16000,650,4,850,500,3
Connecticut,3700,4100,330,8,60,,
Florida,295000,310000,30000,10,41000,8000,3
Georgia,115000,121000,14500,12,32000,22000,18
Hawaii,16000,16000,1500,9,1000,2200,14
Idaho,156000,168000,18500,11,4400,920,1
Illinois,11500,13000,2100,16,900,160,1
Indiana,11000,11500,1600,14,880,420,4
Iowa,9000,21000,1600,8,1200,420,2
Kansas,4500,7000,750,11,1200,130,2
Kentucky,7000,10500,1200,11,1500,120,1
Louisiana,44000,48000,4800,10,9000,20000,42
Maine,1300,1700,130,8,,,
Maryland,7000,7500,640,9,,30,
Massachusetts,3800,4000,350,9,600,100,3
Michigan,60000,65000,6000,9,3800,100,
Minnesota,21000,57000,1000,2,2000,40,
Mississippi,26000,28000,5000,18,16000,660,2
Missouri,8500,8500,2100,25,30,,
Montana,18000,48000,150,,,,
Nebraska,9000,17000,670,4,70,,
New Jersey,6500,7000,250,4,110,40,1
New Mexico,6000,6000,40,1,120,,
New York,29000,36000,3700,10,230,370,1
North Carolina,15000,23000,2200,10,3000,490,2
North Dakota,53000,82000,4500,5,2500,,
Ohio,15500,20000,5500,28,840,1100,6
Oklahoma,19500,19500,700,4,5000,,
Oregon,97000,108000,4800,4,9000,1700,2
Pennsylvania,18500,24000,1000,4,1100,320,1
South Carolina,13000,16500,800,5,3500,1100,7
South Dakota,20000,20000,1200,6,20,,
Tennessee,8000,14000,1500,11,1000,130,1
Texas,235000,340000,35000,10,83000,24000,7
Utah,12000,17000,400,2,4200,,
Vermont,6500,7500,520,7,,70,1
Virginia,6000,7000,1100,16,1600,60,1
Washington,49000,74000,1500,2,580,150,
West Virginia,6000,8000,1100,14,450,680,9
Wisconsin,16000,26000,1500,6,2000,370,1
Wyoming,4000,17000,140,1,450,60,
Other States 5/,7800,8200,440,5,160,20,
United States,2876100,,399570,14,477200,153390,5
