State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,6500,6500,440,7,1200,500,8
Arizona,22000,22000,2600,12,12500,3000,14
Arkansas,17000,17000,1900,11,5000,1300,8
California,1140000,1180000,82000,7,210000,235000,20
Colorado,16500,29000,3500,12,5500,7500,26
Connecticut,3000,3000,140,5,2200,350,12
Florida,245000,250000,25000,10,40000,50000,20
Georgia,125000,142000,10500,7,21000,33000,23
Hawaii,12000,12000,60,1,520,910,8
Idaho,61000,78000,9500,12,24000,31000,40
Illinois,12000,12500,1200,10,3600,1600,13
Indiana,7500,11000,1200,11,3000,510,5
Iowa,12500,23000,2000,9,24000,3900,17
Kansas,4400,4900,380,8,2500,890,18
Kentucky,6500,7000,560,8,2900,600,9
Louisiana,56000,56000,2600,5,4600,9000,16
Maine,2200,40000,910,2,790,1400,4
Maryland,8000,9500,190,2,3200,930,10
Massachusetts,1900,8000,130,2,1900,490,6
Michigan,55000,79000,4600,6,22000,11500,15
Minnesota,34000,128000,5000,4,18500,9000,7
Mississippi,89000,89000,3800,4,5500,42000,47
Missouri,7000,7500,260,3,1700,1000,13
Montana,46000,134000,3800,3,15000,20000,15
Nebraska,8500,63000,640,1,6000,39000,62
New Jersey,6000,21000,430,2,1600,660,3
New Mexico,7000,7500,1700,23,2300,3900,52
New York,25000,41000,1300,3,16000,7500,18
North Carolina,24000,25000,1600,6,3900,2700,11
North Dakota,112000,385000,10500,3,19500,37000,10
Ohio,13500,14500,1100,8,8000,2500,17
Oklahoma,25000,25000,200,1,6500,1600,6
Oregon,84000,108000,5000,5,18000,24000,22
Pennsylvania,15000,16500,510,3,7000,2200,13
South Carolina,20000,20000,870,4,1900,3700,19
South Dakota,34000,152000,6000,4,10000,20000,13
Tennessee,8500,9000,1100,12,2600,1300,14
Texas,345000,345000,18000,5,43000,148000,43
Utah,19000,35000,2300,7,14500,10500,30
Vermont,6000,8000,170,2,390,190,2
Virginia,8500,9000,1000,11,3100,1100,12
Washington,89000,132000,6500,5,36000,21000,16
West Virginia,7500,7500,340,5,3400,2500,33
Wisconsin,18000,65000,2900,4,13000,6500,10
Wyoming,15000,30000,1100,4,4800,4100,14
Other States 5/,5530,7040,150,2,870,840,12
United States,2886030,,225680,8,653470,806170,28
