State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,7000,7000,1800,26,2800,250,4
Arizona,35000,35000,4600,13,3400,2100,6
Arkansas,13000,14000,1500,11,1200,90,1
California,1440000,1690000,255000,15,250000,124000,7
Colorado,3500,12500,1500,12,200,140,1
Connecticut,3900,3900,870,22,290,,
Florida,305000,315000,42000,13,54000,25000,8
Georgia,104000,105000,14500,14,47000,9500,9
Hawaii,10500,10500,380,4,3400,760,7
Idaho,81000,88000,3700,4,2600,8000,9
Illinois,6000,10500,4200,40,2300,390,4
Indiana,9000,9500,2100,22,490,120,1
Iowa,12500,17500,3100,18,1700,270,2
Kansas,4600,7000,1600,23,450,70,1
Kentucky,7500,10500,4100,39,250,,
Louisiana,51000,51000,8000,16,3100,6500,13
Maine,3100,6500,380,6,20,,
Maryland,7500,10000,4100,41,1600,870,9
Massachusetts,2900,4600,1000,22,260,120,3
Michigan,16500,60000,11500,19,7500,2400,4
Minnesota,28000,74000,3700,5,690,530,1
Mississippi,34000,76000,8500,11,22000,7500,10
Missouri,12000,13000,2000,15,220,910,7
Montana,8500,36000,2200,6,1400,1100,3
Nebraska,10000,31000,2600,8,120,310,1
New Jersey,6000,9000,1100,12,570,1600,18
New Mexico,7000,7000,690,10,190,600,9
New York,27000,30000,6500,22,430,950,3
North Carolina,24000,26000,7000,27,6000,690,3
North Dakota,57000,120000,620,1,1800,530,
Ohio,18000,22000,10500,48,5000,3300,15
Oklahoma,9500,26000,6000,23,2600,260,1
Oregon,77000,87000,6500,8,4300,2400,3
Pennsylvania,14000,21000,6500,31,360,,
South Carolina,17000,17500,2700,15,2700,1400,8
South Dakota,50000,97000,4600,5,8500,2800,3
Tennessee,9500,9500,2000,21,1000,190,2
Texas,191000,250000,26000,10,82000,51000,20
Utah,6000,24000,3300,14,2500,290,1
Vermont,5500,5500,700,13,1200,20,
Virginia,8000,9000,2500,28,800,460,5
Washington,52000,105000,14000,13,13500,9000,9
West Virginia,4700,6000,1800,30,570,60,1
Wisconsin,16500,29000,8000,28,3100,2500,9
Wyoming,5500,12000,2000,17,2000,1400,12
Other States 5/,3410,8990,2080,23,870,150,2
United States,2824610,,500020,18,546980,270530,10
