State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,7500,7500,860,12,1900,680,9
Arizona,33000,33000,5500,17,19500,7000,21
Arkansas,13500,13500,1900,14,11500,5500,41
California,1040000,1050000,104000,10,170000,285000,27
Colorado,12000,25000,1900,8,6000,3500,14
Connecticut,3000,3000,80,3,1100,150,5
Florida,210000,215000,35000,16,44000,24000,11
Georgia,114000,124000,23000,19,25000,19000,15
Hawaii,13500,13500,120,1,1100,1200,9
Idaho,62000,72000,6500,9,16500,10500,15
Illinois,9500,9500,1300,14,6000,1500,16
Indiana,8000,12500,1300,10,4900,4300,34
Iowa,12500,24000,1400,6,6500,3100,13
Kansas,6000,7000,670,10,2800,420,6
Kentucky,7500,8500,980,12,3600,1500,18
Louisiana,44000,45000,1800,4,6500,8000,18
Maine,4600,30000,3200,11,3500,700,2
Maryland,8000,11000,370,3,2600,710,7
Massachusetts,4100,14000,320,2,940,510,4
Michigan,58000,88000,9500,11,13500,5500,6
Minnesota,71000,125000,12500,10,20000,21000,17
Mississippi,89000,89000,11000,12,5500,10000,11
Missouri,11500,12500,500,4,1900,1800,14
Montana,36000,210000,4200,2,14000,33000,16
Nebraska,29000,68000,4100,6,15500,4600,7
New Jersey,8500,19000,1800,10,2100,2900,15
New Mexico,6500,8500,1000,12,1500,330,4
New York,24000,34000,1100,3,11000,1500,4
North Carolina,19500,23000,1800,8,5500,3300,14
North Dakota,121000,450000,29000,6,39000,61000,14
Ohio,17500,19000,2100,11,10000,6000,32
Oklahoma,25000,27000,2200,8,5500,2200,8
Oregon,82000,95000,5500,6,14500,9500,10
Pennsylvania,15500,19000,1600,8,8500,2600,14
South Carolina,17500,18500,950,5,1100,2000,11
South Dakota,100000,290000,21000,7,27000,23000,8
Tennessee,7500,7500,730,10,3600,920,12
Texas,305000,315000,33000,11,76000,94000,30
Utah,24000,27000,3400,13,10000,3900,14
Vermont,6000,6000,100,2,580,50,1
Virginia,7500,7500,270,4,2100,430,6
Washington,105000,127000,5000,4,15000,13000,10
West Virginia,4700,4700,570,12,2900,590,13
Wisconsin,25000,65000,4600,7,10000,5500,9
Wyoming,12000,25000,3200,13,7500,5000,20
Other States 5/,8600,11200,1940,17,4140,1960,18
United States,2849500,,352860,12,661860,692850,24
