State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,7500,7500,820,11,1200,1500,20
Arizona,25000,26000,6000,23,810,230,1
Arkansas,22000,22000,7500,34,540,810,4
California,1150000,1540000,220000,14,200000,132500,9
Colorado,13000,21000,4900,23,1400,190,1
Connecticut,2900,2900,140,5,220,330,11
Florida,245000,255000,35000,14,57000,38000,15
Georgia,134000,139000,25000,18,29000,39000,28
Hawaii,15000,15000,1600,11,1200,5100,34
Idaho,164000,168000,22000,13,2500,2600,2
Illinois,10500,10500,2400,23,1000,630,6
Indiana,7000,8000,1000,13,300,30,
Iowa,41000,45000,1300,3,420,110,
Kansas,3700,3700,950,26,500,410,11
Kentucky,5500,5500,1600,29,520,20,
Louisiana,50000,52000,3600,7,4100,320,1
Maine,1900,1900,240,13,40,30,2
Maryland,8000,8000,1500,19,,190,2
Massachusetts,3800,3800,1000,26,240,290,8
Michigan,16500,34000,8000,24,10500,3900,11
Minnesota,39000,62000,3900,6,13500,2900,5
Mississippi,19000,32000,2000,6,28000,5500,17
Missouri,8000,8000,1400,18,1400,50,1
Montana,35000,60000,140,,840,,
Nebraska,6500,14000,430,3,,,
New Jersey,6500,6500,730,11,180,190,3
New Mexico,7500,7500,3900,52,180,,
New York,26000,26000,3700,14,400,170,1
North Carolina,18500,18500,4200,23,2400,260,1
North Dakota,64000,99000,3200,3,2600,10,
Ohio,12000,14000,4000,29,300,580,4
Oklahoma,17000,18000,3700,21,890,240,1
Oregon,81000,89000,4100,5,17000,3900,4
Pennsylvania,14500,14500,1500,10,1600,670,5
South Carolina,13500,14500,1800,12,1900,2800,19
South Dakota,23000,29000,390,1,250,90,
Tennessee,10000,10000,3000,30,600,470,5
Texas,205000,290000,22000,8,118000,42000,14
Utah,7500,17000,620,4,490,50,
Vermont,5500,5500,570,10,20,,
Virginia,7000,7000,2100,30,540,160,2
Washington,44000,89000,4600,5,7000,860,1
West Virginia,4700,8500,2000,24,330,60,1
Wisconsin,21000,29000,4600,16,2800,1560,5
Wyoming,5500,8000,220,3,70,,
Other States 5/,3720,6520,1870,29,160,40,1
United States,2631220,,425220,16,512940,288750,11
