State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,8000,8000,610,8,80,60,1
Arizona,36000,39000,12000,31,3000,16000,41
Arkansas,23000,27000,2400,9,1900,,
California,750000,1260000,149000,12,39000,75000,6
Colorado,24000,24000,2500,10,3400,,
Connecticut,3200,3200,210,7,40,70,2
Florida,220000,260000,37000,14,30000,28000,11
Georgia,110000,121000,18000,15,4400,1900,2
Hawaii,13000,13000,690,5,2700,760,6
Idaho,121000,145000,22000,15,5500,5500,4
Illinois,14000,14000,690,5,,30,
Indiana,11500,11500,1100,10,140,,
Iowa,35000,35000,4300,12,40,30,
Kansas,8500,8500,3400,40,50,20,
Kentucky,8500,8500,1100,13,20,10,
Louisiana,55000,71000,4900,7,1100,2400,3
Maine,4700,4700,60,1,530,20,
Maryland,7500,9500,730,8,,,
Massachusetts,4500,4500,260,6,30,30,1
Michigan,67000,73000,9000,12,210,1600,2
Minnesota,104000,105000,10000,10,600,40,
Mississippi,31000,34000,1500,4,500,230,1
Missouri,13500,13500,690,5,30,40,
Montana,116000,123000,10000,8,1000,80,
Nebraska,72000,73000,7000,10,10,5500,8
New Jersey,8000,8500,270,3,20,10,
New Mexico,6000,6000,290,5,290,30,1
New York,45000,45000,4000,9,260,10,
North Carolina,22000,22000,2200,10,510,70,
North Dakota,230000,275000,35000,13,2700,9000,3
Ohio,19000,19000,2400,13,200,140,1
Oklahoma,5000,10000,650,7,290,60,1
Oregon,100000,114000,8500,8,200,1400,1
Pennsylvania,22000,23000,2500,11,1300,6500,28
South Carolina,10000,17500,2200,13,640,1000,6
South Dakota,194000,205000,9000,4,2400,,
Tennessee,8500,10000,1100,11,70,420,4
Texas,125000,250000,25000,10,13000,2000,1
Utah,28000,28000,1900,7,120,100,
Vermont,6500,6500,940,15,10,10,
Virginia,7500,7500,750,10,,350,5
Washington,87000,89000,6500,7,330,170,
West Virginia,7000,7000,610,9,190,140,2
Wisconsin,48000,48000,6500,14,210,10,
Wyoming,24000,25000,1300,5,30,,
Other States 5/,11360,12560,1630,13,100,50,
United States,2874760,,412380,14,117150,158790,6
