State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,8000,8000,1200,15,440,50,1
Arizona,30000,32000,6000,19,3200,2600,8
Arkansas,32000,32000,1500,5,270,60,
California,740000,820000,82000,10,33000,78000,10
Colorado,33000,37000,6500,18,1100,740,2
Connecticut,3100,3100,270,9,890,180,6
Florida,200000,220000,25000,11,62000,14500,7
Georgia,102000,103000,13000,13,12500,2300,2
Hawaii,13500,13500,600,4,430,820,6
Idaho,79000,131000,13000,10,1900,2800,2
Illinois,11000,11000,1300,12,850,310,3
Indiana,9500,9500,600,6,450,550,6
Iowa,50000,50000,5500,11,10500,2400,5
Kansas,8000,8000,2600,33,310,190,2
Kentucky,7500,7500,1000,13,900,230,3
Louisiana,51000,60000,7000,12,2600,2100,4
Maine,5500,5500,420,8,240,140,3
Maryland,7000,7000,200,3,400,20,
Massachusetts,9500,9500,530,6,450,40,
Michigan,108000,108000,15000,14,11000,9500,9
Minnesota,132000,138000,26000,19,1300,1900,1
Mississippi,19000,20000,3300,17,750,740,4
Missouri,13500,13500,650,5,480,170,1
Montana,147000,158000,11500,7,4100,6500,4
Nebraska,45000,47000,8500,18,390,27000,57
New Jersey,18000,18000,270,2,120,80,
New Mexico,6500,6500,1100,17,2000,1000,15
New York,56000,56000,10000,18,1900,800,1
North Carolina,25000,25000,1400,6,1400,1200,5
North Dakota,510000,550000,71000,13,25000,104000,19
Ohio,21000,21000,1600,8,980,630,3
Oklahoma,3700,3700,560,15,30,30,1
Oregon,107000,112000,7500,7,2900,4300,4
Pennsylvania,19000,22000,1300,6,680,780,4
South Carolina,13000,13500,920,7,990,50,
South Dakota,178000,191000,25000,13,4200,9500,5
Tennessee,10000,10000,950,10,340,290,3
Texas,129000,143000,12000,8,12500,810,1
Utah,27000,33000,3200,10,1200,120,
Vermont,6500,6500,400,6,170,50,1
Virginia,8000,8000,810,10,460,360,5
Washington,57000,74000,5000,7,7500,2000,3
West Virginia,7500,7500,190,3,130,220,3
Wisconsin,71000,75000,12000,16,880,640,1
Wyoming,32000,40000,7000,18,1800,1000,3
Other States 5/,11880,11890,1920,16,1690,430,4
United States,3181180,,397290,12,217320,282130,9
