State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,7500,7500,990,13,550,500,7
Arizona,27000,30000,6500,22,1300,1100,4
Arkansas,25000,25000,7500,30,2500,440,2
California,680000,1200000,155000,13,90000,104000,9
Colorado,34000,34000,7000,21,1500,4000,12
Connecticut,4000,4000,330,8,190,110,3
Florida,180000,240000,50000,21,55000,36000,15
Georgia,125000,145000,21000,14,4300,2200,2
Hawaii,15000,15000,130,1,970,290,2
Idaho,113000,164000,9000,5,10000,5000,3
Illinois,13500,13500,1800,13,140,460,3
Indiana,11500,11500,1700,15,320,100,1
Iowa,45000,45000,6500,14,250,3400,8
Kansas,6500,6500,830,13,140,40,1
Kentucky,7500,7500,870,12,50,120,2
Louisiana,58000,60000,2700,5,390,1900,3
Maine,5500,6000,60,1,220,110,2
Maryland,8000,10500,1300,12,20,410,4
Massachusetts,6000,6000,1100,18,120,550,9
Michigan,88000,88000,11500,13,990,1900,2
Minnesota,98000,98000,7000,7,1900,450,
Mississippi,14000,22000,3400,15,280,830,4
Missouri,9500,9500,820,9,100,230,2
Montana,115000,121000,13000,11,5500,2900,2
Nebraska,42000,42000,7500,18,80,50,
New Jersey,15500,15500,1200,8,330,270,2
New Mexico,8000,8000,1900,24,1700,,
New York,51000,51000,3900,8,820,460,1
North Carolina,23000,23000,5000,22,60,290,1
North Dakota,410000,410000,26000,6,10000,2900,1
Ohio,18500,18500,2800,15,510,960,5
Oklahoma,3700,46000,100,,40,,
Oregon,94000,94000,10000,11,70,18500,20
Pennsylvania,24000,24000,5500,23,2500,1100,5
South Carolina,12500,15000,2000,13,1300,750,5
South Dakota,111000,111000,6500,6,,,
Tennessee,8500,10500,1300,12,230,320,3
Texas,127000,285000,20000,7,3200,1900,1
Utah,29000,29000,2000,7,480,70,
Vermont,6500,6500,470,7,10,10,
Virginia,9500,9500,1100,12,300,210,2
Washington,66000,72000,4000,6,2900,14000,19
West Virginia,8500,8500,1200,14,70,1600,19
Wisconsin,51000,55000,8500,15,530,3000,5
Wyoming,28000,29000,3500,12,2500,320,1
Other States 5/,6070,6970,360,5,150,240,3
United States,2849770,,424860,15,204510,213990,8
