State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,6000,6000,660,11,240,70,1
Arizona,34000,36000,7000,19,300,300,1
Arkansas,19000,19500,1600,8,430,310,2
California,700000,1300000,136000,10,160000,37000,3
Colorado,27000,27000,8000,30,1100,440,2
Connecticut,3800,4000,300,8,10,50,1
Florida,270000,300000,30000,10,28000,15000,5
Georgia,119000,131000,20000,15,10500,10500,8
Hawaii,17000,17000,1300,8,300,50,
Idaho,111000,196000,15500,8,1800,1000,1
Illinois,13000,13000,1700,13,1000,1500,12
Indiana,17500,17500,1300,7,160,180,1
Iowa,32000,32000,7500,23,1500,530,2
Kansas,4800,4900,650,13,190,460,9
Kentucky,8500,8500,410,5,190,170,2
Louisiana,41000,46000,2300,5,70,80,
Maine,11500,11500,770,7,110,40,
Maryland,6500,8000,1100,14,390,420,5
Massachusetts,5000,5000,1200,24,60,130,3
Michigan,84000,84000,6500,8,820,1500,2
Minnesota,97000,97000,15500,16,3400,60,
Mississippi,21000,29000,3400,12,350,50,
Missouri,9000,10000,1500,15,260,10,
Montana,71000,79000,7000,9,770,4000,5
Nebraska,37000,38000,2700,7,320,10,
New Jersey,15500,15500,220,1,60,80,1
New Mexico,6000,6000,70,1,30,10,
New York,65000,65000,10000,15,630,510,1
North Carolina,17500,18000,3200,18,240,770,4
North Dakota,420000,420000,27000,6,3000,4300,1
Ohio,19000,19000,2700,14,800,390,2
Oklahoma,6500,37000,2500,7,460,,
Oregon,115000,130000,15000,12,650,2000,2
Pennsylvania,21000,21000,3800,18,1600,1100,5
South Carolina,12500,13500,1900,14,1400,430,3
South Dakota,189000,189000,7500,4,,40,
Tennessee,11000,11000,1300,12,20,70,1
Texas,129000,240000,17500,7,8000,1700,1
Utah,30000,32000,4400,14,970,90,
Vermont,7000,7000,190,3,100,270,4
Virginia,8000,8000,1200,15,10,190,2
Washington,89000,93000,12500,13,810,100,
West Virginia,7500,8000,1500,19,30,1600,20
Wisconsin,46000,46000,8500,18,1800,3000,7
Wyoming,27000,28000,3300,12,100,490,2
Other States 5/,11010,11510,1340,12,280,,
United States,3018110,,399510,13,233260,91000,3
