State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,8000,8000,930,12,1200,690,9
Arizona,22000,23000,3700,16,14000,1600,7
Arkansas,24000,24000,3400,14,12000,1600,7
California,1110000,1150000,108000,9,240000,185000,16
Colorado,9500,29000,1800,6,9000,680,2
Connecticut,2500,2500,100,4,390,60,2
Florida,240000,240000,29000,12,43000,21000,9
Georgia,108000,111000,11000,10,17500,3600,3
Hawaii,13500,13500,830,6,870,,
Idaho,60000,80000,6000,8,19000,5500,7
Illinois,9000,9000,740,8,2200,380,4
Indiana,4300,7000,220,3,2700,900,13
Iowa,10500,26000,2400,9,26000,760,3
Kansas,4700,6000,960,16,3000,900,15
Kentucky,5500,6000,450,8,2100,270,5
Louisiana,52000,53000,4300,8,10000,9500,18
Maine,3600,25000,4200,17,510,560,2
Maryland,8000,9000,320,4,2800,400,4
Massachusetts,4200,8500,300,4,1100,440,5
Michigan,40000,103000,7500,7,13500,3200,3
Minnesota,27000,126000,13000,10,24000,4200,3
Mississippi,85000,90000,3700,4,9000,61000,68
Missouri,12000,12500,770,6,1800,730,6
Montana,62000,157000,7000,4,25000,13500,9
Nebraska,19500,43000,6000,14,8000,28000,65
New Jersey,4200,18000,1500,8,1900,110,1
New Mexico,6500,6500,1400,22,2700,100,2
New York,31000,46000,4000,9,13500,1500,3
North Carolina,23000,24000,1600,7,10000,550,2
North Dakota,110000,530000,27000,5,23000,95000,18
Ohio,14000,16500,1700,10,6000,1100,7
Oklahoma,12000,13000,310,2,4000,10000,77
Oregon,77000,132000,4300,3,19000,16000,12
Pennsylvania,11000,14000,1300,9,6500,1100,8
South Carolina,12500,13500,1300,10,2200,410,3
South Dakota,51000,182000,11000,6,15000,13000,7
Tennessee,8000,8000,580,7,3900,200,3
Texas,340000,350000,36000,10,74000,54000,15
Utah,14500,25000,4800,19,12000,7000,28
Vermont,5000,6500,20,,480,30,
Virginia,6000,6500,230,4,2200,480,7
Washington,91000,143000,6000,4,21000,11500,8
West Virginia,7000,7000,990,14,2600,160,2
Wisconsin,18500,78000,5500,7,17500,3600,5
Wyoming,6500,27000,2600,10,7500,580,2
Other States 5/,7970,15530,1070,7,3270,270,2
United States,2801470,,329820,12,736920,561160,20
