State,"Honey producing colonies/1,000",Yield per colony (pounds),"Production (1,000 pounds)","Stocks December 15 (1,000 pounds)",Average price per pound (dollars),"Value of production (1,000 dollars)"
Alabama,9,50,450,63,250,1125
Arizona,23,53,1219,427,150,1829
Arkansas,22,64,1408,239,161,2267
California,370,48,17760,3730,161,28594
Colorado,31,55,1705,443,168,2864
Florida,180,61,10980,988,165,18117
Georgia,65,43,2795,196,161,4500
Hawaii,9,74,666,246,471,3137
Idaho,87,36,3132,1879,178,5575
Illinois,7,50,350,98,398,1393
Indiana,8,51,408,147,206,840
Iowa,25,62,1550,961,195,3023
Kansas,7,44,308,117,215,662
Kentucky,4,39,156,12,280,437
Louisiana,36,77,2772,471,167,4629
Maine,4,30,120,17,191,229
Michigan,74,64,4736,2084,176,8335
Minnesota,120,53,6360,2099,159,10112
Mississippi,18,115,2070,104,153,3167
Missouri,8,43,344,76,209,719
Montana,145,92,13340,3202,164,21878
Nebraska,41,59,2419,653,173,4185
New Jersey,11,41,451,135,376,1696
New Mexico,7,56,392,153,166,651
New York,49,56,2744,1235,193,5296
North Carolina,14,62,868,95,282,2448
North Dakota,460,71,32660,7512,166,54216
Ohio,15,66,990,228,226,2237
Oregon,60,34,2040,755,174,3550
Pennsylvania,24,44,1056,306,242,2556
South Dakota,250,66,16500,4290,165,27225
Tennessee,7,44,308,68,298,918
Texas,78,58,4524,633,177,8007
Utah,23,39,897,170,175,1570
Vermont,4,43,172,43,230,396
Virginia,4,40,160,21,400,640
Washington,71,38,2698,836,176,4748
West Virginia,4,53,212,45,242,513
Wisconsin,57,63,3591,1508,180,6464
Wyoming,35,54,1890,265,176,3326
Other States,25,46,1156,211,286,3306
United States ,2491,59.6,148357,36761,172.9,256509
