State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,10,5.4,,2.2,9.1,9.4
Arizona,26.9,20.5,0.1,,1.8,3.1
Arkansas,17.6,11.4,1.5,3.4,1,1
California,24.7,7.2,3,7.5,6.5,2.8
Colorado,14.6,0.9,1.8,0.6,2.6,5.9
Connecticut,2.5,1.4,,,21.2,2.4
Florida,22.3,13.5,0.8,8.9,5.1,4.4
Georgia,6.2,4.9,3.3,2.6,4.8,10.5
Hawaii,38.8,37.7,1.6,,2,
Idaho,39.8,6.7,12.5,4.8,8.9,4.9
Illinois,12.3,6.9,0.7,0.4,12.6,11.6
Indiana,20.7,0.3,0.2,0.3,22.3,11.7
Iowa,26,0.7,4.6,3.4,18,3.4
Kansas,32.7,1.3,1.1,14.2,9.5,3.4
Kentucky,10.8,10.7,2.5,2.5,22.7,12.9
Louisiana,17.2,4.7,4.3,1.7,3.1,2.1
Maine,4.4,0.1,,,7.5,1.9
Maryland,10.1,1.8,0.4,,24.2,12.4
Massachusetts,23.5,3.5,2.1,2.8,7.6,4.7
Michigan,14.3,3.1,1.1,1.6,8.3,4.6
Minnesota,1.4,0.1,,0.1,1.6,2.1
Mississippi,9.4,8.2,0.1,2.1,1.2,1.1
Missouri,13.1,6,2.2,4.2,11.8,6.3
Montana,8.7,0.5,0.6,0.8,2.3,7.9
Nebraska,5.9,0.1,0.1,0.5,0.3,3
New Jersey,40.1,13.2,30.4,11.1,19.5,16.7
New Mexico,17.1,0.1,,0.2,1.3,0.4
New York,7.6,2.6,0.5,4.4,12.4,8.3
North Carolina,35.5,2.3,0.1,22.9,6.2,12.2
North Dakota,1.7,1.7,,,2.5,0.1
Ohio,10.7,1.6,1,3,17.8,3.1
Oklahoma,14.5,10.1,0.5,,2.1,2.9
Oregon,20.2,2,0.4,0.6,1.6,1.1
Pennsylvania,28.1,6.3,1.9,1.9,17.8,6.3
South Carolina,10.5,2.3,0.2,0.3,3.6,2.9
South Dakota,1.2,0.9,0.3,0.5,1.2,1.8
Tennessee,22.2,17.1,,,13,4.4
Texas,21.5,12.2,5,11.1,2.3,6.2
Utah,13.6,0.9,0.1,4.4,3,0.5
Vermont,2.3,5.6,,,5.8,4.9
Virginia,19,9.4,2.3,,9.8,11.9
Washington,21.5,0.5,0.3,3.6,6,1.1
West Virginia,18,7.3,2.2,2.1,14.6,6.1
Wisconsin,18.8,1.6,2.7,8.5,8.3,5.8
Wyoming,0.9,,,,0.7,
Other States 4/,0.8,0.1,,0.1,0.9,
United States,25.2,8.6,3.1,7.4,6.9,4.3
