State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,15.3,10.9,0.2,3.6,7.5,10.4
Arizona,35.6,2.1,3.8,1.7,6.5,2.1
Arkansas,23.7,13.8,,0.3,3.6,0.6
California,38,12.8,7.6,9.2,6.6,6.3
Colorado,17,,,0.9,2.6,0.4
Connecticut,51.5,1.5,,,6.1,5.6
Florida,37.6,14.8,1.5,14.2,6.2,17.9
Georgia,35.3,7,0.2,2.6,4.4,1.8
Hawaii,1.2,2.1,0.2,,0.1,0.1
Idaho,74.2,42.3,42.3,21.2,1.7,0.4
Illinois,24.3,11.8,0.6,4.2,10.2,7.9
Indiana,15.8,8,5.2,4.1,10.4,7.1
Iowa,33.6,8.3,8.4,12,11.9,11.7
Kansas,47.1,2.9,,3.6,16.4,14.3
Kentucky,31.9,11.5,0.4,3.8,16,7.5
Louisiana,20.5,8.5,0.1,2.2,5.2,2.3
Maine,23.9,20.9,30.5,8.1,26.3,
Maryland,11.3,3.3,1,1,11.9,4.3
Massachusetts,32,5.6,2.9,4.5,10.5,5.2
Michigan,7.9,0.3,,1.9,1.1,3.9
Minnesota,2.1,0.4,0.1,1,8.8,5.8
Mississippi,41.7,35.3,,0.1,0.5,1.4
Missouri,16.2,15.2,0.5,2.6,5.4,5.3
Montana,34,13.6,,2.3,5.6,0.1
Nebraska,14.9,0.3,0.4,,2.2,1.2
New Jersey,16.3,0.7,0.3,0.1,0.8,0.6
New Mexico,93.9,,87.4,,2,
New York,20.4,9.4,9.8,4.4,13.2,10.9
North Carolina,34.7,17.4,0.2,1.5,7.2,3.9
North Dakota,0.8,,,,0.2,0.1
Ohio,25.8,11.6,0.6,0.1,5.2,16.5
Oklahoma,11.9,1,,0.1,0.5,0.3
Oregon,28.7,8.5,10.1,9.1,15.4,8.5
Pennsylvania,21,2.4,0.8,2.9,3.6,7.3
South Carolina,12.6,5.3,0.4,1.1,2.7,1.8
South Dakota,2.9,,,,0.2,0.3
Tennessee,28.6,12.6,0.9,2.4,8.1,7
Texas,36.2,22.5,2,5.1,3.5,3.6
Utah,38.7,,0.1,,2,0.3
Vermont,6,0.7,2.1,0.2,0.9,2.1
Virginia,21.4,12.8,2.8,3.2,7.4,8.4
Washington,6.8,0.1,,,8.1,4.4
West Virginia,15.8,1,0.2,,11.9,1.3
Wisconsin,19,1.9,1.1,2,4,10.5
Wyoming,0.2,,0.2,,0.6,
Other States 4/,3.4,0.8,6.6,2.6,1.8,2.5
United States,42.2,15.6,7.1,8.9,7.2,7.4
