State,"Honey producing colonies/1,000",Yield per colony (pounds),"Production (1,000 pounds)","Stocks December 15 (1,000 pounds)",Average price per pound (dollars),"Value of production (1,000 dollars)",Year,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Added_Colony_Number,Renovated_Colony_Number,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,7,47,329,13,383,1260,2015,31000,31500,4670,4940,1250,23.225,31.225,0.2,1.825,4.325,8.275
Arizona,26,49,1274,306,217,2765,2015,144000,147000,28100,30200,40600,34.725,19.775,1.775,13.63333333,9.525,6
Arkansas,24,72,1728,121,202,3491,2015,72500,84500,14800,15100,5800,47.7,29.225,2.375,9.8,9.675,3.075
California,275,30,8250,1485,204,16830,2015,3960000,4800000,584000,499000,577000,38.2,15.45,7.375,15.45,11.55,4.475
Colorado,29,51,1479,399,218,3224,2015,68500,91500,10400,11000,5040,37.825,7.15,7.575,9.9,4.525,4.25
Florida,220,54,11880,832,197,23404,2015,899000,1010000,150000,165000,106000,33.325,20,3.175,14.075,10.9,4.35
Georgia,69,40,2760,221,242,6679,2015,436000,460000,68500,95900,45900,37.525,13.125,3.775,14.25,7.225,4.875
Hawaii,14,102,1428,71,195,2785,2015,51500,51500,3890,8400,8220,52,53.275,0.55,0.1,2.566666667,0.1
Idaho,89,32,2848,1082,192,5468,2015,344000,433000,46200,30100,35500,37.75,4.8,6.25,6.2,6.9,4.025
Illinois,8,51,408,155,432,1763,2015,43500,48000,7590,9600,3020,9.925,4.025,0.45,1.05,4.825,4.525
Indiana,6,53,318,165,338,1075,2015,43500,48500,6100,6930,4840,16.225,3.225,4.575,2.275,7.075,5.9
Iowa,36,50,1800,990,233,4194,2015,89000,113500,11800,8880,4080,29.575,3.125,2.05,5.575,12.775,2.525
Kansas,8,36,288,107,352,1014,2015,28100,32000,6670,3400,670,28.525,11.175,0.6,13.375,15.425,7.25
Kentucky,5,46,230,55,386,888,2015,33500,37500,7480,4040,2060,23.775,13.75,2.35,5.15,12.1,4.875
Louisiana,44,99,4356,348,193,8407,2015,200000,222000,16700,13000,18700,22.6,2.925,2.25,1.25,3.375,0.75
Maine,10,47,470,47,551,2590,2015,18400,47200,4090,4460,860,26.1,9.55,6.65,34.5,2.675,2.55
Michigan,90,58,5220,1984,243,12685,2015,230500,310000,37000,24510,13300,29,9.125,3,7.125,7.425,5.05
Minnesota,122,68,8296,2157,183,15182,2015,336000,440000,58200,21930,23870,25.925,7.4,5.733333333,17.25,5.625,6.875
Mississippi,15,83,1245,87,264,3287,2015,177000,233000,24500,28260,17840,18.9,4.725,0.233333333,1.1,2,1.375
Missouri,10,52,520,52,350,1820,2015,51000,53000,4390,2850,3380,8.025,7.475,2.9,1.975,3.925,4.15
Montana,146,83,12118,3757,194,23509,2015,300500,525000,26900,19600,44180,26.425,9.4,6.625,4.95,3.375,9.033333333
Nebraska,57,48,2736,1450,202,5527,2015,178000,249000,19700,16130,16410,15.275,5.766666667,3.733333333,3.85,1.85,2.625
New Jersey,12,27,324,207,420,1361,2015,41000,55000,3380,2880,5010,26.875,5,10.26666667,12.53333333,5.5,5.25
New York,58,62,3596,899,294,10572,2015,140000,156000,18100,16090,9460,22.8,7.9,2.875,6.7,6.225,4.275
North Carolina,12,45,540,103,452,2441,2015,89500,95000,13900,14510,5160,32.5,11.975,0.4,8.575,5.775,6.775
North Dakota,490,74,36260,9428,180,65268,2015,868000,1345000,157620,54500,92530,15.45,5.625,3.333333333,6.033333333,3.725,1.55
Ohio,17,50,850,357,408,3468,2015,77500,83000,16900,17500,10320,23.375,5.625,1.65,11.4,11.275,8.975
Oregon,71,38,2698,809,252,6799,2015,327000,396000,29000,27000,34300,32.975,11.25,5.075,5.3,3.475,1.7
Pennsylvania,17,53,901,225,363,3271,2015,76500,88000,12400,11960,11500,29.2,6.925,2.3,2.225,8.125,2.55
South Carolina,14,67,938,38,409,3836,2015,56500,65500,7850,5320,4980,28.25,10.4,4.85,4.525,4.25,2.2
South Dakota,290,66,19140,9379,179,34261,2015,639000,887000,87600,40000,38800,12.45,5.575,1.5,4.175,1.725,3.275
Tennessee,7,59,413,78,407,1681,2015,35500,37000,5030,5170,1880,41.1,27.525,1.15,6.4,6.225,3
Texas,126,66,8316,1164,209,17380,2015,697000,951000,100500,176500,151800,23.1,17.45,2.875,10.625,4.15,5.6
Utah,27,42,1134,147,193,2189,2015,89000,115000,16600,14020,6490,39.175,11.45,12.4,12.625,4.15,0.55
Vermont,5,52,260,62,423,1100,2015,24000,24500,1780,1820,100,21.45,6.2,0.5,0.6,1.975,6.866666667
Virginia,6,38,228,50,567,1293,2015,31000,32000,4200,3420,1460,25.125,13.45,1.45,1.95,5.525,8.925
Washington,73,44,3212,1221,164,5268,2015,328000,418000,37000,30630,42170,30.675,1.125,1.225,1.825,4,0.85
West Virginia,5,35,175,32,444,777,2015,23400,24700,3280,3960,1060,18.525,6.35,1.275,2.325,7.6,3.05
Wisconsin,52,67,3484,1603,241,8396,2015,149500,204000,28100,14610,12310,37.7,10.725,3.625,14.875,10.675,10.75
Wyoming,38,77,2926,146,190,5559,2015,70500,97000,9000,9800,6840,23.375,10.73333333,4.6,5.833333333,5.575,2.233333333
Other States ,30,39,1168,371,503,5875,2015,,,,,,,,,,,
United States,2660,58.9,156544,42203,209,327177,2015,11681750,0,1722360,1498980,1425240,36.7,14.275,5.3,12.175,8.65,4.875
Connecticut,,,,,,,2015,13800,13800,1210,1620,660,15.625,1.175,0.933333333,1.133333333,8.35,1.7
Maryland,,,,,,,2015,30000,38000,5880,4930,1650,11.875,6.05,0.9,12.65,8.275,5.05
Massachusetts,,,,,,,2015,19000,30600,2140,1520,1060,34.5,17.425,2.225,17.15,4.275,2.3
New Mexico,,,,,,,2015,26000,28000,3580,3280,1610,37,18.46666667,23.56666667,18.125,14.45,1.375
Oklahoma,,,,,,,2015,59000,85000,9080,8550,2710,21.25,5.8,0.233333333,0.1,2.75,1.925
Other States 5/,,,,,,,2015,35550,45030,6550,6160,2860,,,,,,
Other States 4/,,,,,,,2015,,,,,,13.525,3.133333333,,0.25,0.566666667,4.1
