State,"Honey producing colonies/1,000",Yield per colony (pounds),"Production (1,000 pounds)","Stocks December 15 (1,000 pounds)",Average price per pound (dollars),"Value of production (1,000 dollars)",Year
Alabama,7,52,364,55,281,1023,2013
Arizona,29,36,1044,251,189,1973,2013
Arkansas,22,60,1320,66,201,2653,2013
California,330,33,10890,2505,210,22869,2013
Colorado,26,43,1118,324,210,2348,2013
Florida,220,61,13420,1074,204,27377,2013
Georgia,67,50,3350,637,224,7504,2013
Hawaii,13,83,1079,65,198,2136,2013
Idaho,83,32,2656,1036,201,5339,2013
Illinois,7,48,336,101,415,1394,2013
Indiana,6,47,282,82,267,753,2013
Iowa,39,48,1872,1217,254,4755,2013
Kansas,6,46,276,39,255,704,2013
Kentucky,3,41,123,17,302,371,2013
Louisiana,50,98,4900,490,183,8967,2013
Maine,7,43,301,27,303,912,2013
Michigan,85,55,4675,982,213,9958,2013
Minnesota,130,58,7540,1282,197,14854,2013
Mississippi,17,116,1972,39,185,3648,2013
Missouri,10,47,470,85,253,1189,2013
Montana,159,94,14946,5231,208,31088,2013
Nebraska,46,60,2760,1628,206,5686,2013
New Jersey,11,44,484,34,389,1883,2013
New York,55,48,2640,1030,199,5254,2013
North Carolina,10,38,380,84,363,1379,2013
North Dakota,480,69,33120,6955,204,67565,2013
Ohio,17,45,765,390,321,2456,2013
Oregon,62,35,2170,456,229,4969,2013
Pennsylvania,13,45,585,257,298,1743,2013
South Dakota,265,56,14840,6381,206,30570,2013
Tennessee,7,45,315,63,358,1128,2013
Texas,106,59,6254,1689,212,13258,2013
Utah,30,34,1020,92,207,2111,2013
Vermont,3,51,153,46,331,506,2013
Virginia,5,35,175,42,423,740,2013
Washington,69,39,2691,1023,221,5947,2013
West Virginia,6,46,276,83,356,983,2013
Wisconsin,59,60,3540,1558,231,8177,2013
Wyoming,47,66,3102,558,211,6545,2013
Other States ,33,39,1295,186,417,5400,2013
United States,2640,56.6,149499,38160,212.1,317087,2013
