State,"Honey producing colonies/1,000",Yield per colony (pounds),"Production (1,000 pounds)","Stocks December 15 (1,000 pounds)",Average price per pound (dollars),"Value of production (1,000 dollars)",Year
Alabama,7,42,294,44,3.2,941,2019
Arizona,23,46,1058,201,1.97,2084,2019
Arkansas,20,55,1100,176,1.53,1683,2019
California,335,48,16080,3216,1.56,25085,2019
Colorado,32,46,1472,500,2.14,3150,2019
Florida,205,45,9225,830,2.48,22878,2019
Georgia,102,33,3366,370,2.61,8785,2019
Hawaii,16,80,1280,51,1.28,1638,2019
Idaho,92,32,2944,677,1.67,4916,2019
Illinois,11,39,429,116,4.31,1849,2019
Indiana,9,55,495,198,3.95,1955,2019
Iowa,38,55,2090,1170,2.24,4682,2019
Kansas,7,79,553,171,2.95,1631,2019
Kentucky,6,41,246,44,4.5,1107,2019
Louisiana,54,72,3888,428,2.04,7932,2019
Maine,15,35,525,110,2.92,1533,2019
Michigan,94,50,4700,1363,2.36,11092,2019
Minnesota,118,59,6962,3063,1.63,11348,2019
Mississippi,22,80,1760,141,1.85,3256,2019
Missouri,10,43,430,73,3.32,1428,2019
Montana,173,86,14878,5802,1.48,22019,2019
Nebraska,39,52,2028,223,1.46,2961,2019
New Jersey,15,28,420,155,3.33,1399,2019
New York,59,58,3422,1027,4.49,15365,2019
North Carolina,14,42,588,118,4.06,2387,2019
North Dakota,520,65,33800,6422,1.4,47320,2019
Ohio,15,67,1005,442,3.42,3437,2019
Oregon,87,32,2784,1141,2.07,5763,2019
Pennsylvania,19,50,950,409,4.24,4028,2019
South Carolina,16,47,752,45,5.01,3768,2019
South Dakota,270,72,19440,7582,1.53,29743,2019
Tennessee,8,57,456,91,4.65,2120,2019
Texas,126,60,7560,1814,2.3,17388,2019
Utah,22,29,638,89,2.06,1314,2019
Vermont,6,48,288,84,4.34,1250,2019
Virginia,5,39,195,49,7.51,1464,2019
Washington,81,35,2835,1191,2.12,6010,2019
West Virginia,6,37,222,47,4.5,999,2019
Wisconsin,46,47,2162,692,2.99,6464,2019
Wyoming,39,56,2184,306,1.35,2948,2019
Other States ,30,47,1418,351,5.91,8380,2019
United States,2812,55.8,156922,41022,1.97,309136,2019
