State,"Honey producing colonies/1,000",Yield per colony (pounds),"Production (1,000 pounds)","Stocks December 15 (1,000 pounds)",Average price per pound (dollars),"Value of production (1,000 dollars)",Year
Alabama,6,45,270,14,3.72,1004,2018
Arizona,24,38,912,109,3.01,2745,2018
Arkansas,28,50,1400,84,1.88,2632,2018
California,335,41,13735,3022,2.11,28981,2018
Colorado,31,48,1488,283,2.05,3050,2018
Florida,215,49,10535,737,2.4,25284,2018
Georgia,98,34,3332,200,2.76,9196,2018
Hawaii,17,103,1751,18,1.92,3362,2018
Idaho,96,31,2976,655,1.96,5833,2018
Illinois,11,41,451,108,4.83,2178,2018
Indiana,7,46,322,106,3.58,1153,2018
Iowa,38,49,1862,1005,2.4,4469,2018
Kansas,5,73,365,95,3.1,1132,2018
Kentucky,4,41,164,34,5.43,891,2018
Louisiana,45,83,3735,261,1.91,7134,2018
Maine,12,32,384,92,2.98,1144,2018
Michigan,97,44,4268,768,2.49,10627,2018
Minnesota,119,61,7259,1161,1.94,14082,2018
Mississippi,20,87,1740,70,2.07,3602,2018
Missouri,9,45,405,36,2.83,1146,2018
Montana,160,92,14720,3680,1.9,27968,2018
Nebraska,40,59,2360,850,2.01,4744,2018
New Jersey,13,31,403,165,7.47,3010,2018
New York,56,48,2688,833,3.24,8709,2018
North Carolina,10,33,330,63,5.76,1901,2018
North Dakota,550,72,39600,4752,1.87,74052,2018
Ohio,14,73,1022,491,3.72,3802,2018
Oregon,93,35,3255,1009,2.36,7682,2018
Pennsylvania,19,44,836,309,3.89,3252,2018
South Carolina,16,48,768,15,3.17,2435,2018
South Dakota,255,47,11985,5154,1.91,22891,2018
Tennessee,7,46,322,84,4.11,1323,2018
Texas,132,56,7392,1035,2.12,15671,2018
Utah,26,41,1066,75,2.1,2239,2018
Vermont,7,48,336,94,3.76,1263,2018
Virginia,4,40,160,35,7.24,1158,2018
Washington,77,43,3311,563,2.15,7119,2018
West Virginia,6,37,222,38,4.33,961,2018
Wisconsin,51,45,2295,711,2.95,6770,2018
Wyoming,39,56,2184,175,1.91,4171,2018
Other States,36,39,1399,314,6.02,8422,2018
United States,2828,54.5,154008,29303,2.21,340358,2018
