State,"Honey producing colonies/1,000",Yield per colony (pounds),"Production (1,000 pounds)","Stocks December 15 (1,000 pounds)",Average price per pound (dollars),"Value of production (1,000 dollars)",Year
Alabama,7,53,371,26,353,1310,2014
Arizona,26,39,1014,193,192,1947,2014
Arkansas,21,65,1365,137,204,2785,2014
California,320,39,12480,2995,206,25709,2014
Colorado,27,37,999,200,211,2108,2014
Florida,245,60,14700,1029,208,30576,2014
Georgia,73,62,4526,362,219,9912,2014
Hawaii,15,93,1395,140,229,3195,2014
Idaho,100,34,3400,850,203,6902,2014
Illinois,8,49,392,94,411,1611,2014
Indiana,5,62,310,115,319,989,2014
Iowa,35,43,1505,933,241,3627,2014
Kansas,7,75,525,84,238,1250,2014
Kentucky,5,47,235,56,396,931,2014
Louisiana,48,84,4032,524,218,8790,2014
Maine,8,47,376,41,499,1876,2014
Michigan,91,63,5733,1835,249,14275,2014
Minnesota,132,60,7920,1426,206,16315,2014
Mississippi,20,112,2240,45,201,4502,2014
Missouri,12,47,564,96,363,2047,2014
Montana,162,88,14256,5132,209,29795,2014
Nebraska,50,75,3750,1688,204,7650,2014
New Jersey,12,30,360,119,313,1127,2014
New York,60,55,3300,1518,283,9339,2014
North Carolina,12,43,516,88,349,1801,2014
North Dakota,490,86,42140,9271,199,83859,2014
Ohio,15,61,915,256,358,3276,2014
Oregon,71,40,2840,767,220,6248,2014
Pennsylvania,17,46,782,203,291,2276,2014
South Carolina,9,54,486,19,397,1929,2014
South Dakota,280,87,24360,5846,208,50669,2014
Tennessee,7,63,441,88,376,1658,2014
Texas,116,78,9048,2081,224,20268,2014
Utah,29,28,812,130,213,1730,2014
Vermont,3,58,174,61,489,851,2014
Virginia,6,41,246,57,468,1151,2014
Washington,68,44,2992,1167,261,7809,2014
West Virginia,6,31,186,33,407,757,2014
Wisconsin,53,54,2862,1030,238,6812,2014
Wyoming,38,61,2318,255,208,4821,2014
Other States,31,45,1404,202,367,5153,2014
United States,2740,65.1,178270,41192,217.3,387381,2014
