State,"Honey producing colonies/1,000",Yield per colony (pounds),"Production (1,000 pounds)","Stocks December 15 (1,000 pounds)",Average price per pound (dollars),"Value of production (1,000 dollars)",Year
Alabama,9,54,486,73,240,1166,2010
Arizona,24,77,1848,665,152,2809,2010
Arkansas,25,60,1500,360,147,2205,2010
California,410,67,27470,6318,155,42579,2010
Colorado,34,56,1904,533,152,2894,2010
Florida,200,69,13800,1794,156,21528,2010
Georgia,55,46,2530,152,167,4225,2010
Hawaii,10,77,770,239,275,2118,2010
Idaho,97,27,2619,1179,161,4217,2010
Illinois,9,41,369,92,278,1026,2010
Indiana,10,43,430,151,223,959,2010
Iowa,27,49,1323,463,192,2540,2010
Kansas,9,52,468,103,202,945,2010
Kentucky,5,67,335,67,272,911,2010
Louisiana,36,80,2880,288,150,4320,2010
Maine,5,41,205,33,205,420,2010
Michigan,71,58,4118,1524,167,6877,2010
Minnesota,128,66,8448,1774,155,13094,2010
Mississippi,16,98,1568,78,144,2258,2010
Missouri,11,52,572,92,180,1030,2010
Montana,157,74,11618,2905,158,18356,2010
Nebraska,41,55,2255,902,151,3405,2010
New Jersey,13,35,455,73,190,865,2010
New Mexico,7,66,462,157,158,730,2010
New York,45,64,2880,1123,196,5645,2010
North Carolina,13,46,598,144,266,1591,2010
North Dakota,510,91,46410,12995,150,69615,2010
Ohio,18,62,1116,346,228,2544,2010
Oregon,59,39,2301,874,163,3751,2010
Pennsylvania,30,37,1110,377,213,2364,2010
South Dakota,265,58,15370,4765,151,23209,2010
Tennessee,8,63,504,106,250,1260,2010
Texas,100,72,7200,792,151,10872,2010
Utah,26,30,780,195,153,1193,2010
Vermont,4,65,260,73,310,806,2010
Virginia,5,37,185,37,332,614,2010
Washington,71,37,2627,1077,157,4124,2010
West Virginia,5,40,200,40,239,478,2010
Wisconsin,64,64,4096,1556,168,6881,2010
Wyoming,34,36,1224,282,159,1946,2010
Other States ,26,45,1168,221,281,3282,2010
United States ,2692,65.6,176462,45018,161.9,285692,2010
